kin E	MS
 818	 1219.91223144531
 819	 1219.48840332031
 820	 1219.06188964844
 821	 1218.63256835937
 822	 1218.20056152344
 823	 1217.76586914062
 824	 1217.32836914062
 825	 1216.88830566406
 826	 1216.44543457031
 827	 1215.99987792969
 828	 1215.5517578125
 829	 1215.10083007812
 830	 1214.64733886719
 831	 1214.19116210937
 832	 1213.732421875
 833	 1213.27087402344
 834	 1212.80676269531
 835	 1212.34008789062
 836	 1211.87072753906
 837	 1211.39880371094
 838	 1210.92431640625
 839	 1210.44714355469
 840	 1209.96740722656
 841	 1209.48510742187
 842	 1209.00024414062
 843	 1208.51281738281
 844	 1208.02282714844
 845	 1207.5302734375
 846	 1207.03515625
 847	 1206.53759765625
 848	 1206.03735351562
 849	 1205.53466796875
 850	 1205.02954101562
 851	 1204.52185058594
 852	 1204.01159667969
 853	 1203.49890136719
 854	 1202.98376464844
 855	 1202.46618652344
 856	 1201.94604492187
 857	 1201.42346191406
 858	 1200.8984375
 859	 1200.37097167969
 860	 1199.84106445312
 861	 1199.30871582031
 862	 1198.77392578125
 863	 1198.23681640625
 864	 1197.697265625
 865	 1197.1552734375
 866	 1196.61083984375
 867	 1196.06408691406
 868	 1195.51489257812
 869	 1194.96337890625
 870	 1194.40954589844
 871	 1193.85327148437
 872	 1193.29467773437
 873	 1192.73376464844
 874	 1192.17053222656
 875	 1191.60485839844
 876	 1191.03698730469
 877	 1190.466796875
 878	 1189.89416503906
 879	 1189.3193359375
 880	 1188.74230957031
 881	 1188.16284179687
 882	 1187.58117675781
 883	 1186.99719238281
 884	 1186.41101074219
 885	 1185.82263183594
 886	 1185.23193359375
 887	 1184.63891601562
 888	 1184.04382324219
 889	 1183.44641113281
 890	 1182.84680175781
 891	 1182.24499511719
 892	 1181.64099121094
 893	 1181.03466796875
 894	 1180.42626953125
 895	 1179.81579589844
 896	 1179.20300292969
 897	 1178.58813476562
 898	 1177.97106933594
 899	 1177.35180664062
 900	 1176.73046875
 901	 1176.10693359375
 902	 1175.48132324219
 903	 1174.85363769531
 904	 1174.22375488281
 905	 1173.591796875
 906	 1172.95776367187
 907	 1172.32165527344
 908	 1171.68334960937
 909	 1171.04309082031
 910	 1170.40075683594
 911	 1169.75634765625
 912	 1169.10986328125
 913	 1168.46130371094
 914	 1167.81079101562
 915	 1167.158203125
 916	 1166.50354003906
 917	 1165.84692382812
 918	 1165.18835449219
 919	 1164.52770996094
 920	 1163.86511230469
 921	 1163.20043945312
 922	 1162.53393554687
 923	 1161.86535644531
 924	 1161.19482421875
 925	 1160.52233886719
 926	 1159.84790039062
 927	 1159.17150878906
 928	 1158.49328613281
 929	 1157.81298828125
 930	 1157.130859375
 931	 1156.44677734375
 932	 1155.76086425781
 933	 1155.07299804687
 934	 1154.38330078125
 935	 1153.69165039062
 936	 1152.99816894531
 937	 1152.30285644531
 938	 1151.60559082031
 939	 1150.90649414062
 940	 1150.20556640625
 941	 1149.50280761719
 942	 1148.79821777344
 943	 1148.091796875
 944	 1147.38366699219
 945	 1146.67358398437
 946	 1145.96179199219
 947	 1145.24816894531
 948	 1144.53271484375
 949	 1143.81555175781
 950	 1143.0966796875
 951	 1142.3759765625
 952	 1141.65344238281
 953	 1140.92919921875
 954	 1140.20324707031
 955	 1139.4755859375
 956	 1138.74621582031
 957	 1138.01501464844
 958	 1137.2822265625
 959	 1136.54772949219
 960	 1135.81140136719
 961	 1135.07348632812
 962	 1134.33386230469
 963	 1133.59265136719
 964	 1132.84973144531
 965	 1132.10510253906
 966	 1131.35876464844
 967	 1130.61096191406
 968	 1129.86145019531
 969	 1129.11022949219
 970	 1128.357421875
 971	 1127.60302734375
 972	 1126.84704589844
 973	 1126.08947753906
 974	 1125.33020019531
 975	 1124.56945800781
 976	 1123.80712890625
 977	 1123.04321289062
 978	 1122.27770996094
 979	 1121.51062011719
 980	 1120.74206542969
 981	 1119.97192382812
 982	 1119.20031738281
 983	 1118.42712402344
 984	 1117.65246582031
 985	 1116.87622070312
 986	 1116.09851074219
 987	 1115.3193359375
 988	 1114.53857421875
 989	 1113.75646972656
 990	 1112.97277832031
 991	 1112.18774414062
 992	 1111.40112304687
 993	 1110.61315917969
 994	 1109.82360839844
 995	 1109.03271484375
 996	 1108.24047851562
 997	 1107.44665527344
 998	 1106.65148925781
 999	 1105.85498046875
 1000	 1105.05700683594
 1001	 1104.25769042969
 1002	 1103.45690917969
 1003	 1102.65478515625
 1004	 1101.85131835937
 1005	 1101.04650878906
 1006	 1100.24035644531
 1007	 1099.43273925781
 1008	 1098.62390136719
 1009	 1097.81372070312
 1010	 1097.00219726562
 1011	 1096.18933105469
 1012	 1095.37512207031
 1013	 1094.55969238281
 1014	 1093.74291992188
